Nr. Pomiaru,Data,Ciężar ładunku [T],Długość wysięgnika [m],Odległość od osi [m],Wysokość podnoszenia [m],"Maksymalne, chwilowe zużycie ON [l/h]",Dzienne zużycie ON [l/8h],Cena hurtowa ON 1000l [PLN],"Maksymalne, chwilowe zużycie energii elektrycznej [kW]",Dzienne zużycie energii elektrycznej [kW/8h],Cena energii elektrycznej [kWh],Koszt dzienny [PLN],Prędkość wiatru [km/h],Prędkość wiatru [m/s],Temperatura [C],Ciśnienie [hPa]
696,10/25/2022,40,31.3,30,5,,,,40,80.1,0.4843,38.79243,21.5,5.97,14,1017
697,10/26/2022,15,31.3,29,10,,,,39.6,79.2,0.4843,38.35656,9,2.5,12,1021
698,10/26/2022,25,31.3,29,10,,,,39.6,79.2,0.4843,38.35656,9,2.5,12,1021
699,10/26/2022,40,31.3,29,10,,,,39.6,79.2,0.4843,38.35656,9,2.5,12,1021
700,10/27/2022,15,35.8,36,5,,,,39.8,79.2,0.4843,38.35656,8.5,2.36,12,1028
701,10/27/2022,25,35.8,36,5,,,,39.8,79.2,0.4843,38.35656,8.5,2.36,12,1028
702,10/27/2022,40,35.8,36,5,,,,39.8,79.2,0.4843,38.35656,8.5,2.36,12,1028
703,10/28/2022,15,35.8,33,11,,,,39.6,79.2,0.4843,38.35656,12.5,3.47,14,1025
704,10/28/2022,25,35.8,33,11,,,,39.6,79.2,0.4843,38.35656,12.5,3.47,14,1025
705,10/28/2022,40,35.8,33,11,,,,39.6,79.2,0.4843,38.35656,12.5,3.47,14,1025
706,10/31/2022,15,40.3,39,7,,,,40,80.1,0.4843,38.79243,7.5,2.08,15,1021
707,10/31/2022,25,40.3,39,7,,,,40,80.1,0.4843,38.79243,7.5,2.08,15,1021
708,10/31/2022,40,40.3,39,7,,,,40,80.1,0.4843,38.79243,7.5,2.08,15,1021
709,12/1/2022,5,13.2,12,3,,,,39.6,79.2,0.4843,38.35656,18.5,5.14,0,1027
710,12/1/2022,8,13.2,12,3,,,,39.6,79.2,0.4843,38.35656,18.5,5.14,0,1027
711,12/1/2022,15,13.2,12,3,,,,39.6,79.2,0.4843,38.35656,18.5,5.14,0,1027
712,12/2/2022,5,13.2,5,10,,,,39.8,79.2,0.4843,38.35656,15.25,4.24,-1,1025
713,12/2/2022,8,13.2,5,10,,,,39.8,79.2,0.4843,38.35656,15.25,4.24,-1,1025
714,12/2/2022,15,13.2,5,10,,,,39.8,79.2,0.4843,38.35656,15.25,4.24,-1,1025
715,12/5/2022,5,17.7,17,4,,,,39.6,79.2,0.4843,38.35656,6,1.67,2,1020
716,12/5/2022,8,17.7,17,4,,,,39.6,79.2,0.4843,38.35656,6,1.67,2,1020
717,12/5/2022,15,17.7,17,4,,,,39.6,79.2,0.4843,38.35656,6,1.67,2,1020
718,12/6/2022,5,17.7,8,14,,,,40,80.1,0.4843,38.79243,19,5.28,3,1013
719,12/6/2022,8,17.7,8,14,,,,40,80.1,0.4843,38.79243,19,5.28,3,1013
720,12/6/2022,15,17.7,8,14,,,,40,80.1,0.4843,38.79243,19,5.28,3,1013
721,12/7/2022,5,22.2,20,4,,,,39.6,79.2,0.4843,38.35656,22.75,6.32,3,1011
722,12/7/2022,8,22.2,20,4,,,,39.6,79.2,0.4843,38.35656,22.75,6.32,3,1011
723,12/7/2022,15,22.2,20,4,,,,39.6,79.2,0.4843,38.35656,22.75,6.32,3,1011
724,12/8/2022,5,22.2,9,19,,,,39.8,79.2,0.4843,38.35656,13.75,3.82,2,1012
725,12/8/2022,8,22.2,9,19,,,,39.8,79.2,0.4843,38.35656,13.75,3.82,2,1012
726,12/8/2022,15,22.2,9,19,,,,39.8,79.2,0.4843,38.35656,13.75,3.82,2,1012
727,12/9/2022,5,26.7,26,4,,,,39.6,79.2,0.4843,38.35656,13.75,3.82,1,1007
728,12/9/2022,8,26.7,26,4,,,,39.6,79.2,0.4843,38.35656,13.75,3.82,1,1007
729,12/9/2022,15,26.7,26,4,,,,39.6,79.2,0.4843,38.35656,13.75,3.82,1,1007
730,12/12/2022,5,26.7,4,24,,,,40,80.1,0.4843,38.79243,19.25,5.35,-3,1005
731,12/12/2022,8,26.7,4,24,,,,40,80.1,0.4843,38.79243,19.25,5.35,-3,1005
732,12/12/2022,15,26.7,4,24,,,,40,80.1,0.4843,38.79243,19.25,5.35,-3,1005
733,12/13/2022,5,31.3,30,5,,,,40,80.1,0.4843,38.79243,17.75,4.93,-8,1014
734,12/13/2022,8,31.3,30,5,,,,40,80.1,0.4843,38.79243,17.75,4.93,-8,1014
735,12/13/2022,15,31.3,30,5,,,,40,80.1,0.4843,38.79243,17.75,4.93,-8,1014
736,12/14/2022,5,31.3,8,28,,,,39.6,79.2,0.4843,38.35656,6.5,1.81,-7,1009
737,12/14/2022,8,31.3,8,28,,,,39.6,79.2,0.4843,38.35656,6.5,1.81,-7,1009
738,12/14/2022,15,31.3,8,28,,,,39.6,79.2,0.4843,38.35656,6.5,1.81,-7,1009
739,12/15/2022,5,35.8,36,5,,,,39.8,79.2,0.4843,38.35656,10.5,2.92,-2,1011
740,12/15/2022,8,35.8,36,5,,,,39.8,79.2,0.4843,38.35656,10.5,2.92,-2,1011
741,12/15/2022,15,35.8,36,5,,,,39.8,79.2,0.4843,38.35656,10.5,2.92,-2,1011
742,12/16/2022,5,35.8,25,24,,,,39.6,79.2,0.4843,38.35656,13.5,3.75,-1,1007
743,12/16/2022,8,35.8,25,24,,,,39.6,79.2,0.4843,38.35656,13.5,3.75,-1,1007
744,12/16/2022,15,35.8,25,24,,,,39.6,79.2,0.4843,38.35656,13.5,3.75,-1,1007
745,12/19/2022,5,35.8,10,32,,,,40,80.1,0.4843,38.79243,4.75,1.32,-8,1034
746,12/19/2022,8,35.8,10,32,,,,40,80.1,0.4843,38.79243,4.75,1.32,-8,1034
747,12/19/2022,15,35.8,10,32,,,,40,80.1,0.4843,38.79243,4.75,1.32,-8,1034
748,12/20/2022,5,40.3,39,7,,,,39.6,79.2,0.4843,38.35656,8,2.22,-2,1025
749,12/20/2022,8,40.3,39,7,,,,39.6,79.2,0.4843,38.35656,8,2.22,-2,1025
750,12/20/2022,15,40.3,39,7,,,,39.6,79.2,0.4843,38.35656,8,2.22,-2,1025
751,12/21/2022,5,40.3,32,22,,,,39.8,79.2,0.4843,38.35656,9,2.5,-1,1017
752,12/21/2022,8,40.3,32,22,,,,39.8,79.2,0.4843,38.35656,9,2.5,-1,1017
753,12/21/2022,15,40.3,32,22,,,,39.8,79.2,0.4843,38.35656,9,2.5,-1,1017
754,12/22/2022,1,40.3,13,36,,,,39.6,79.2,0.4843,38.35656,14,3.89,3,1011
755,12/22/2022,5,40.3,13,36,,,,39.6,79.2,0.4843,38.35656,14,3.89,3,1011
756,12/22/2022,8,40.3,13,36,,,,39.6,79.2,0.4843,38.35656,14,3.89,3,1011
757,12/23/2022,5,44.8,43,7,,,,40,80.1,0.4843,38.79243,12.5,3.47,3,1008
758,12/23/2022,8,44.8,43,7,,,,40,80.1,0.4843,38.79243,12.5,3.47,3,1008
759,12/23/2022,15,44.8,43,7,,,,40,80.1,0.4843,38.79243,12.5,3.47,3,1008
760,12/27/2022,1,44.8,15,40,,,,40,80.1,0.4843,38.79243,31,8.61,5,1024
761,12/27/2022,5,44.8,15,40,,,,40,80.1,0.4843,38.79243,31,8.61,5,1024
762,12/27/2022,8,44.8,15,40,,,,40,80.1,0.4843,38.79243,31,8.61,5,1024
763,12/28/2022,5,49.3,47,9,,,,39.6,79.2,0.4843,38.35656,13.75,3.82,2,1022
764,12/28/2022,8,49.3,47,9,,,,39.6,79.2,0.4843,38.35656,13.75,3.82,2,1022
765,12/28/2022,15,49.3,47,9,,,,39.6,79.2,0.4843,38.35656,13.75,3.82,2,1022
766,12/29/2022,5,49.3,42,24,,,,39.8,79.2,0.4843,38.35656,10.75,2.99,4,1015
767,12/29/2022,8,49.3,42,24,,,,39.8,79.2,0.4843,38.35656,10.75,2.99,4,1015
768,12/29/2022,15,49.3,42,24,,,,39.8,79.2,0.4843,38.35656,10.75,2.99,4,1015
769,12/30/2022,1,49.3,28,42,,,,39.6,79.2,0.4843,38.35656,9.5,2.64,5,1019
770,12/30/2022,5,49.3,28,42,,,,39.6,79.2,0.4843,38.35656,9.5,2.64,5,1019
771,12/30/2022,8,49.3,28,42,,,,39.6,79.2,0.4843,38.35656,9.5,2.64,5,1019
772,1/1/2023,1,49.3,11,46,,,,40,80.1,0.4843,38.79243,11.5,3.19,10,1023
773,1/1/2023,5,49.3,11,46,,,,40,80.1,0.4843,38.79243,11.5,3.19,10,1023
774,1/1/2023,5,49.3,11,46,,,,40,80.1,0.4843,38.79243,11.5,3.19,10,1023
775,1/2/2023,5,53.8,51,10,,,,39.6,79.2,0.4843,38.35656,13,3.61,8,1022
776,1/2/2023,8,53.8,51,10,,,,39.6,79.2,0.4843,38.35656,13,3.61,8,1022
777,1/2/2023,15,53.8,51,10,,,,39.6,79.2,0.4843,38.35656,13,3.61,8,1022
778,1/3/2023,1,53.8,36,38,,,,39.8,79.2,0.4843,38.35656,13.25,3.68,6,1028
779,1/3/2023,5,53.8,36,38,,,,39.8,79.2,0.4843,38.35656,13.25,3.68,6,1028
780,1/3/2023,8,53.8,36,38,,,,39.8,79.2,0.4843,38.35656,13.25,3.68,6,1028
781,1/4/2023,1,53.8,19,48,,,,39.6,79.2,0.4843,38.35656,35,9.72,5,1025
782,1/4/2023,5,53.8,19,48,,,,39.6,79.2,0.4843,38.35656,35,9.72,5,1025
783,1/4/2023,5,53.8,19,48,,,,39.6,79.2,0.4843,38.35656,35,9.72,5,1025
784,1/5/2023,5,58.3,57,11,,,,39.6,79.2,0.4843,38.35656,39.75,11.04,7,1010
785,1/5/2023,8,58.3,57,11,,,,39.6,79.2,0.4843,38.35656,39.75,11.04,7,1010
786,1/5/2023,15,58.3,57,11,,,,39.6,79.2,0.4843,38.35656,39.75,11.04,7,1010
787,1/6/2023,1,58.3,46,34,,,,39.8,79.2,0.4843,38.35656,23.25,6.46,6,1023
788,1/6/2023,5,58.3,46,34,,,,39.8,79.2,0.4843,38.35656,23.25,6.46,6,1023
789,1/6/2023,8,58.3,46,34,,,,39.8,79.2,0.4843,38.35656,23.25,6.46,6,1023
790,1/7/2023,1,58.3,21,52,,,,39.6,79.2,0.4843,38.35656,17.5,4.86,5,1021
791,1/7/2023,1,58.3,21,52,,,,39.6,79.2,0.4843,38.35656,17.5,4.86,5,1021
792,1/7/2023,1,58.3,21,52,,,,39.6,79.2,0.4843,38.35656,17.5,4.86,5,1021
793,1/8/2023,5,62.8,61,12,,,,40,80.1,0.4843,38.79243,7.25,2.01,5,1013
794,1/8/2023,8,62.8,61,12,,,,40,80.1,0.4843,38.79243,7.25,2.01,5,1013
795,1/8/2023,15,62.8,61,12,,,,40,80.1,0.4843,38.79243,7.25,2.01,5,1013
796,1/9/2023,1,62.8,56,27,,,,39.6,79.2,0.4843,38.35656,11.5,3.19,6,1004
797,1/9/2023,5,62.8,56,27,,,,39.6,79.2,0.4843,38.35656,11.5,3.19,6,1004
798,1/9/2023,8,62.8,56,27,,,,39.6,79.2,0.4843,38.35656,11.5,3.19,6,1004
799,1/10/2023,1,62.8,38,48,,,,39.8,79.2,0.4843,38.35656,15.75,4.38,5,1016
800,1/10/2023,5,62.8,38,48,,,,39.8,79.2,0.4843,38.35656,15.75,4.38,5,1016
801,1/10/2023,5,62.8,38,48,,,,39.8,79.2,0.4843,38.35656,15.75,4.38,5,1016
802,1/11/2023,1,62.8,18,57,,,,39.6,79.2,0.4843,38.35656,10.75,2.99,4,1019
803,1/11/2023,1,62.8,18,57,,,,39.6,79.2,0.4843,38.35656,10.75,2.99,4,1019
804,1/11/2023,1,62.8,18,57,,,,39.6,79.2,0.4843,38.35656,10.75,2.99,4,1019
805,1/12/2023,1,67.3,65,14,,,,40,80.1,0.4843,38.79243,14.5,4.03,6,1019
806,1/12/2023,5,67.3,65,14,,,,40,80.1,0.4843,38.79243,14.5,4.03,6,1019
807,1/12/2023,8,67.3,65,14,,,,40,80.1,0.4843,38.79243,14.5,4.03,6,1019
808,1/13/2023,1,67.3,49,44,,,,40,80.1,0.4843,38.79243,22.25,6.18,8,1014
809,1/13/2023,5,67.3,49,44,,,,40,80.1,0.4843,38.79243,22.25,6.18,8,1014
810,1/13/2023,5,67.3,49,44,,,,40,80.1,0.4843,38.79243,22.25,6.18,8,1014
811,1/14/2023,1,67.3,21,62,,,,39.6,79.2,0.4843,38.35656,18,5,5,1020
812,1/14/2023,1,67.3,21,62,,,,39.6,79.2,0.4843,38.35656,18,5,5,1020
813,1/14/2023,1,67.3,21,62,,,,39.6,79.2,0.4843,38.35656,18,5,5,1020
814,1/15/2023,1,72,71,14,,,,39.8,79.2,0.4843,38.35656,19.75,5.49,6,1007
815,1/15/2023,5,72,71,14,,,,39.8,79.2,0.4843,38.35656,19.75,5.49,6,1007
816,1/15/2023,8,72,71,14,,,,39.8,79.2,0.4843,38.35656,19.75,5.49,6,1007
817,1/16/2023,1,72,60,38,,,,39.6,79.2,0.4843,38.35656,13.75,3.82,3,1001
818,1/16/2023,1,72,60,38,,,,39.6,79.2,0.4843,38.35656,13.75,3.82,3,1001
819,1/16/2023,1,72,60,38,,,,39.6,79.2,0.4843,38.35656,13.75,3.82,3,1001
820,1/17/2023,1,72,48,52,,,,40,80.1,0.4843,38.79243,9.5,2.64,3,992
821,1/17/2023,1,72,48,52,,,,40,80.1,0.4843,38.79243,9.5,2.64,3,992
822,1/17/2023,1,72,48,52,,,,40,80.1,0.4843,38.79243,9.5,2.64,3,992
823,1/18/2023,1,72,23,67,,,,39.6,79.2,0.4843,38.35656,18.5,5.14,2,991
824,1/18/2023,1,72,23,67,,,,39.6,79.2,0.4843,38.35656,18.5,5.14,2,991
825,1/18/2023,1,72,23,67,,,,39.6,79.2,0.4843,38.35656,18.5,5.14,2,991
826,1/19/2023,5,13.2,9,7,,,,39.8,79.2,0.4843,38.35656,5.5,1.53,2,1005
827,1/19/2023,8,13.2,9,7,,,,39.8,79.2,0.4843,38.35656,5.5,1.53,2,1005
828,1/19/2023,15,13.2,9,7,,,,39.8,79.2,0.4843,38.35656,5.5,1.53,2,1005
829,1/20/2023,5,17.7,15,8,,,,39.6,79.2,0.4843,38.35656,10,2.78,1,1012
830,1/20/2023,8,17.7,15,8,,,,39.6,79.2,0.4843,38.35656,10,2.78,1,1012
831,1/20/2023,15,17.7,15,8,,,,39.6,79.2,0.4843,38.35656,10,2.78,1,1012
832,1/21/2023,5,22.2,19,10,,,,39.6,79.2,0.4843,38.35656,17.75,4.93,-2,1010
833,1/21/2023,8,22.2,19,10,,,,39.6,79.2,0.4843,38.35656,17.75,4.93,-2,1010
834,1/21/2023,15,22.2,19,10,,,,39.6,79.2,0.4843,38.35656,17.75,4.93,-2,1010
835,1/22/2023,5,26.7,24,10,,,,39.8,79.2,0.4843,38.35656,3.25,0.9,-5,1024
836,1/22/2023,8,26.7,24,10,,,,39.8,79.2,0.4843,38.35656,3.25,0.9,-5,1024
837,1/22/2023,15,26.7,24,10,,,,39.8,79.2,0.4843,38.35656,3.25,0.9,-5,1024
838,1/23/2023,5,26.7,15,20,,,,39.6,79.2,0.4843,38.35656,10.25,2.85,-4,1029
839,1/23/2023,8,26.7,15,20,,,,39.6,79.2,0.4843,38.35656,10.25,2.85,-4,1029
840,1/23/2023,15,26.7,15,20,,,,39.6,79.2,0.4843,38.35656,10.25,2.85,-4,1029
841,1/24/2023,5,31.3,26,16,,,,40,80.1,0.4843,38.79243,14,3.89,0,1034
842,1/24/2023,8,31.3,26,16,,,,40,80.1,0.4843,38.79243,14,3.89,0,1034
843,1/24/2023,15,31.3,26,16,,,,40,80.1,0.4843,38.79243,14,3.89,0,1034
844,1/25/2023,5,31.3,14,28,,,,39.6,79.2,0.4843,38.35656,11,3.06,-1,1033
845,1/25/2023,8,31.3,14,28,,,,39.6,79.2,0.4843,38.35656,11,3.06,-1,1033
846,1/25/2023,15,31.3,14,28,,,,39.6,79.2,0.4843,38.35656,11,3.06,-1,1033
847,1/26/2023,5,35.8,33,11,,,,39.8,79.2,0.4843,38.35656,11,3.06,0,1028
848,1/26/2023,8,35.8,33,11,,,,39.8,79.2,0.4843,38.35656,11,3.06,0,1028
849,1/26/2023,15,35.8,33,11,,,,39.8,79.2,0.4843,38.35656,11,3.06,0,1028
850,1/27/2023,5,13.2,9,7,,,,39.6,79.2,0.4843,38.35656,19,5.28,-4,1037
851,1/27/2023,8,13.2,9,7,,,,39.6,79.2,0.4843,38.35656,19,5.28,-4,1037
852,1/27/2023,15,13.2,9,7,,,,39.6,79.2,0.4843,38.35656,19,5.28,-4,1037
853,1/28/2023,5,17.7,15,8,,,,40,80.1,0.4843,38.79243,13,3.61,-7,1037
854,1/28/2023,8,17.7,15,8,,,,40,80.1,0.4843,38.79243,13,3.61,-7,1037
855,1/28/2023,15,17.7,15,8,,,,40,80.1,0.4843,38.79243,13,3.61,-7,1037
856,1/29/2023,5,22.2,19,10,,,,39.6,79.2,0.4843,38.35656,27,7.5,-1,1020
857,1/29/2023,8,22.2,19,10,,,,39.6,79.2,0.4843,38.35656,27,7.5,-1,1020
858,1/29/2023,15,22.2,19,10,,,,39.6,79.2,0.4843,38.35656,27,7.5,-1,1020
859,1/30/2023,5,26.7,24,10,,,,39.8,79.2,0.4843,38.35656,22,6.11,-4,1019
860,1/30/2023,8,26.7,24,10,,,,39.8,79.2,0.4843,38.35656,22,6.11,-4,1019
861,1/30/2023,15,26.7,24,10,,,,39.8,79.2,0.4843,38.35656,22,6.11,-4,1019
862,1/31/2023,5,26.7,15,20,,,,39.6,79.2,0.4843,38.35656,40,11.11,-3,1014
863,1/31/2023,8,26.7,15,20,,,,39.6,79.2,0.4843,38.35656,40,11.11,-3,1014
864,1/31/2023,15,26.7,15,20,,,,39.6,79.2,0.4843,38.35656,40,11.11,-3,1014
865,2/1/2023,5,31.3,26,16,,,,40,80.1,0.4843,38.79243,29,8.06,2,1011
866,2/1/2023,8,31.3,26,16,,,,40,80.1,0.4843,38.79243,29,8.06,2,1011
867,2/1/2023,15,31.3,26,16,,,,40,80.1,0.4843,38.79243,29,8.06,2,1011
868,2/2/2023,5,31.3,14,28,,,,40,80.1,0.4843,38.79243,31,8.61,2,1011
869,2/2/2023,8,31.3,14,28,,,,40,80.1,0.4843,38.79243,31,8.61,2,1011
870,2/2/2023,15,31.3,14,28,,,,40,80.1,0.4843,38.79243,31,8.61,2,1011
871,2/3/2023,5,35.8,33,11,,,,39.6,79.2,0.4843,38.35656,28,7.78,1,1016
872,2/3/2023,8,35.8,33,11,,,,39.6,79.2,0.4843,38.35656,28,7.78,1,1016
873,2/3/2023,15,35.8,33,11,,,,39.6,79.2,0.4843,38.35656,28,7.78,1,1016
874,2/4/2023,5,35.8,19,28,,,,39.8,79.2,0.4843,38.35656,31,8.61,0,1027
875,2/4/2023,8,35.8,19,28,,,,39.8,79.2,0.4843,38.35656,31,8.61,0,1027
876,2/4/2023,15,35.8,19,28,,,,39.8,79.2,0.4843,38.35656,31,8.61,0,1027
877,2/5/2023,1,40.3,21,32,,,,39.6,79.2,0.4843,38.35656,13,3.61,-5,1037
878,2/5/2023,5,40.3,21,32,,,,39.6,79.2,0.4843,38.35656,13,3.61,-5,1037
879,2/5/2023,8,40.3,21,32,,,,39.6,79.2,0.4843,38.35656,13,3.61,-5,1037
880,2/6/2023,5,44.8,37,21,,,,40,80.1,0.4843,38.79243,5,1.39,-6,1039
881,2/6/2023,8,44.8,37,21,,,,40,80.1,0.4843,38.79243,5,1.39,-6,1039
882,2/6/2023,15,44.8,37,21,,,,40,80.1,0.4843,38.79243,5,1.39,-6,1039
883,2/7/2023,1,44.8,26,34,,,,39.6,79.2,0.4843,38.35656,7,1.94,-6,1041
884,2/7/2023,5,44.8,26,34,,,,39.6,79.2,0.4843,38.35656,7,1.94,-6,1041
885,2/7/2023,8,44.8,26,34,,,,39.6,79.2,0.4843,38.35656,7,1.94,-6,1041
886,2/8/2023,1,49.3,36,32,,,,39.8,79.2,0.4843,38.35656,12,3.33,-5,1045
887,2/8/2023,5,49.3,36,32,,,,39.8,79.2,0.4843,38.35656,12,3.33,-5,1045
888,2/8/2023,8,49.3,36,32,,,,39.8,79.2,0.4843,38.35656,12,3.33,-5,1045
889,2/9/2023,1,53.8,47,24,,,,39.6,79.2,0.4843,38.35656,6,1.67,-6,1038
890,2/9/2023,5,53.8,47,24,,,,39.6,79.2,0.4843,38.35656,6,1.67,-6,1038
891,2/9/2023,8,53.8,47,24,,,,39.6,79.2,0.4843,38.35656,6,1.67,-6,1038
892,2/10/2023,5,58.3,55,18,,,,40,80.1,0.4843,38.79243,16,4.44,-2,1035
893,2/10/2023,8,58.3,55,18,,,,40,80.1,0.4843,38.79243,16,4.44,-2,1035
894,2/10/2023,15,58.3,55,18,,,,40,80.1,0.4843,38.79243,16,4.44,-2,1035
895,2/11/2023,1,58.3,32,46,,,,39.6,79.2,0.4843,38.35656,25,6.94,-1,1028
896,2/11/2023,5,58.3,32,46,,,,39.6,79.2,0.4843,38.35656,25,6.94,-1,1028
897,2/11/2023,5,58.3,32,46,,,,39.6,79.2,0.4843,38.35656,25,6.94,-1,1028
898,2/12/2023,1,62.8,58,20,,,,39.8,79.2,0.4843,38.35656,15,4.17,1,1038
899,2/12/2023,5,62.8,58,20,,,,39.8,79.2,0.4843,38.35656,15,4.17,1,1038
900,2/12/2023,8,62.8,58,20,,,,39.8,79.2,0.4843,38.35656,15,4.17,1,1038
901,2/13/2023,1,62.8,45,42,,,,39.6,79.2,0.4843,38.35656,17,4.72,3,1036
902,2/13/2023,5,62.8,45,42,,,,39.6,79.2,0.4843,38.35656,17,4.72,3,1036
903,2/13/2023,5,62.8,45,42,,,,39.6,79.2,0.4843,38.35656,17,4.72,3,1036
904,2/14/2023,1,67.3,60,29,,,,40,80.1,0.4843,38.79243,14,3.89,3,1036
905,2/14/2023,5,67.3,60,29,,,,40,80.1,0.4843,38.79243,14,3.89,3,1036
906,2/14/2023,8,67.3,60,29,,,,40,80.1,0.4843,38.79243,14,3.89,3,1036
907,2/15/2023,1,67.3,33,56,,,,40,80.1,0.4843,38.79243,7,1.94,2,1031
908,2/15/2023,1,67.3,33,56,,,,40,80.1,0.4843,38.79243,7,1.94,2,1031
909,2/15/2023,1,67.3,33,56,,,,40,80.1,0.4843,38.79243,7,1.94,2,1031
910,2/16/2023,5,72,68,21,,,,39.6,79.2,0.4843,38.35656,15,4.17,3,1025
911,2/16/2023,8,72,68,21,,,,39.6,79.2,0.4843,38.35656,15,4.17,3,1025
912,2/16/2023,15,72,68,21,,,,39.6,79.2,0.4843,38.35656,15,4.17,3,1025
913,2/17/2023,1,72,65,29,,,,39.8,79.2,0.4843,38.35656,37,10.28,5,1018
914,2/17/2023,5,72,65,29,,,,39.8,79.2,0.4843,38.35656,37,10.28,5,1018
915,2/17/2023,5,72,65,29,,,,39.8,79.2,0.4843,38.35656,37,10.28,5,1018
916,2/18/2023,1,72,53,46,,,,39.6,79.2,0.4843,38.35656,38,10.56,8,1014
917,2/18/2023,1,72,53,46,,,,39.6,79.2,0.4843,38.35656,38,10.56,8,1014
918,2/18/2023,1,72,53,46,,,,39.6,79.2,0.4843,38.35656,38,10.56,8,1014
919,2/19/2023,1,72,40,57,,,,40,80.1,0.4843,38.79243,25,6.94,4,1012
920,2/19/2023,1,72,40,57,,,,40,80.1,0.4843,38.79243,25,6.94,4,1012
921,2/19/2023,1,72,40,57,,,,40,80.1,0.4843,38.79243,25,6.94,4,1012
922,2/20/2023,1,72,32,62,,,,39.6,79.2,0.4843,38.35656,40,11.11,5,1017
923,2/20/2023,1,72,32,62,,,,39.6,79.2,0.4843,38.35656,40,11.11,5,1017
924,2/20/2023,1,72,32,62,,,,39.6,79.2,0.4843,38.35656,40,11.11,5,1017
925,2/21/2023,15,13.2,12,3,,,,39.8,79.2,0.4843,38.35656,33,9.17,8,1011
926,2/21/2023,25,13.2,12,3,,,,39.8,79.2,0.4843,38.35656,33,9.17,8,1011
927,2/21/2023,40,13.2,12,3,,,,39.8,79.2,0.4843,38.35656,33,9.17,8,1011
928,2/22/2023,15,13.2,9,7,,,,39.6,79.2,0.4843,38.35656,10,2.78,3,1018
929,2/22/2023,25,13.2,9,7,,,,39.6,79.2,0.4843,38.35656,10,2.78,3,1018
930,2/22/2023,40,13.2,9,7,,,,39.6,79.2,0.4843,38.35656,10,2.78,3,1018
931,2/23/2023,15,13.2,5,10,,,,40,80.1,0.4843,38.79243,10,2.78,3,1017
932,2/23/2023,25,13.2,5,10,,,,40,80.1,0.4843,38.79243,10,2.78,3,1017
933,2/23/2023,40,13.2,5,10,,,,40,80.1,0.4843,38.79243,10,2.78,3,1017
934,2/24/2023,15,17.7,17,4,,,,40,80.1,0.4843,38.79243,22,6.11,6,1004
935,2/24/2023,25,17.7,17,4,,,,40,80.1,0.4843,38.79243,22,6.11,6,1004
936,2/24/2023,40,17.7,17,4,,,,40,80.1,0.4843,38.79243,22,6.11,6,1004
937,2/25/2023,15,17.7,15,8,,,,39.6,79.2,0.4843,38.35656,32,8.89,4,996
938,2/25/2023,25,17.7,15,8,,,,39.6,79.2,0.4843,38.35656,32,8.89,4,996
939,2/25/2023,40,17.7,15,8,,,,39.6,79.2,0.4843,38.35656,32,8.89,4,996
940,2/26/2023,15,22.2,20,4,,,,39.8,79.2,0.4843,38.35656,15,4.17,0,1014
941,2/26/2023,25,22.2,20,4,,,,39.8,79.2,0.4843,38.35656,15,4.17,0,1014
942,2/26/2023,40,22.2,20,4,,,,39.8,79.2,0.4843,38.35656,15,4.17,0,1014
943,2/27/2023,15,22.2,19,10,,,,39.6,79.2,0.4843,38.35656,13,3.61,1,1026
944,2/27/2023,25,22.2,19,10,,,,39.6,79.2,0.4843,38.35656,13,3.61,1,1026
945,2/27/2023,40,22.2,19,10,,,,39.6,79.2,0.4843,38.35656,13,3.61,1,1026
946,2/28/2023,15,26.7,26,4,,,,40,80.1,0.4843,38.79243,12,3.33,0,1030
947,2/28/2023,25,26.7,26,4,,,,40,80.1,0.4843,38.79243,12,3.33,0,1030
948,2/28/2023,40,26.7,26,4,,,,40,80.1,0.4843,38.79243,12,3.33,0,1030
